,i,j,Lon,Lat,SL,UC,Code,Error
28547792,3393,2757,113.083333333333,-1.88333333333334,99999.0,-72.8944886329502,121,100
28547793,3394,2757,113.116666666667,-1.88333333333334,99999.0,-70.2452970725275,121,100
28547794,3395,2757,113.15,-1.88333333333334,99999.0,-68.1341027819199,121,100
28547795,3396,2757,113.183333333333,-1.88333333333334,99999.0,-66.6265093783835,121,100
28547796,3397,2757,113.216666666667,-1.88333333333334,99999.0,-65.677139840656,121,100
28547797,3398,2757,113.25,-1.88333333333334,99999.0,-65.1638525438737,121,100
28547798,3399,2757,113.283333333333,-1.88333333333334,99999.0,-64.9837274459675,121,100
28547799,3400,2757,113.316666666667,-1.88333333333334,99999.0,-64.9993088774409,121,100
28547800,3401,2757,113.35,-1.88333333333334,99999.0,-65.0104777392165,121,100
28547801,3402,2757,113.383333333333,-1.88333333333334,99999.0,-64.8692237085351,121,100
28547802,3403,2757,113.416666666667,-1.88333333333334,99999.0,-64.4763924932078,121,100
28547803,3404,2757,113.45,-1.88333333333334,99999.0,-63.7226045321161,121,100
28547804,3405,2757,113.483333333333,-1.88333333333334,99999.0,-62.5227387838402,121,100
28547805,3406,2757,113.516666666667,-1.88333333333334,99999.0,-60.8825062920419,121,100
28547806,3407,2757,113.55,-1.88333333333334,99999.0,-58.8943851305304,121,100
28547807,3408,2757,113.583333333333,-1.88333333333334,99999.0,-56.6615919356382,121,100
28547808,3409,2757,113.616666666667,-1.88333333333334,99999.0,-54.2730220423937,121,100
28547809,3410,2757,113.65,-1.88333333333334,99999.0,-51.8189933633156,121,100
28547810,3411,2757,113.683333333333,-1.88333333333334,99999.0,-49.3784564077926,121,100
28547811,3412,2757,113.716666666667,-1.88333333333334,99999.0,-47.0229095119359,121,100
28547812,3413,2757,113.75,-1.88333333333334,99999.0,-44.8397185620976,121,100
28558592,3393,2756,113.083333333333,-1.85000000000001,99999.0,-73.4707811608628,121,100
28558593,3394,2756,113.116666666667,-1.85000000000001,99999.0,-70.5014427787712,121,100
28558594,3395,2756,113.15,-1.85000000000001,99999.0,-68.2289952940323,121,100
28558595,3396,2756,113.183333333333,-1.85000000000001,99999.0,-66.701573816442,121,100
28558596,3397,2756,113.216666666667,-1.85000000000001,99999.0,-65.8182358690042,121,100
28558597,3398,2756,113.25,-1.85000000000001,99999.0,-65.4148954546969,121,100
28558598,3399,2756,113.283333333333,-1.85000000000001,99999.0,-65.3649362696219,121,100
28558599,3400,2756,113.316666666667,-1.85000000000001,99999.0,-65.5289331845928,121,100
28558600,3401,2756,113.35,-1.85000000000001,99999.0,-65.7121617287465,121,100
28558601,3402,2756,113.383333333333,-1.85000000000001,99999.0,-65.7571985946414,121,100
28558602,3403,2756,113.416666666667,-1.85000000000001,99999.0,-65.5403835224408,121,100
28558603,3404,2756,113.45,-1.85000000000001,99999.0,-64.8992700373209,121,100
28558604,3405,2756,113.483333333333,-1.85000000000001,99999.0,-63.6927983937653,121,100
28558605,3406,2756,113.516666666667,-1.85000000000001,99999.0,-61.9223820684672,121,100
28558606,3407,2756,113.55,-1.85000000000001,99999.0,-59.7340326035594,121,100
28558607,3408,2756,113.583333333333,-1.85000000000001,99999.0,-57.2923233039091,121,100
28558608,3409,2756,113.616666666667,-1.85000000000001,99999.0,-54.7123634546278,121,100
28558609,3410,2756,113.65,-1.85000000000001,99999.0,-52.0781312143216,121,100
28558610,3411,2756,113.683333333333,-1.85000000000001,99999.0,-49.4559511346604,121,100
28558611,3412,2756,113.716666666667,-1.85000000000001,99999.0,-46.9175157775528,121,100
28558612,3413,2756,113.75,-1.85000000000001,99999.0,-44.5664921479295,121,100
28569392,3393,2755,113.083333333333,-1.81666666666666,99999.0,-73.8501051787623,121,100
28569393,3394,2755,113.116666666667,-1.81666666666666,99999.0,-70.5254909041492,121,100
28569394,3395,2755,113.15,-1.81666666666666,99999.0,-68.0889807865468,121,100
28569395,3396,2755,113.183333333333,-1.81666666666666,99999.0,-66.5700284825202,121,100
28569396,3397,2755,113.216666666667,-1.81666666666666,99999.0,-65.7875686610017,121,100
28569397,3398,2755,113.25,-1.81666666666666,99999.0,-65.5161490485165,121,100
28569398,3399,2755,113.283333333333,-1.81666666666666,99999.0,-65.5976490577173,121,100
28569399,3400,2755,113.316666666667,-1.81666666666666,99999.0,-65.8875810419256,121,100
28569400,3401,2755,113.35,-1.81666666666666,99999.0,-66.2127242811572,121,100
28569401,3402,2755,113.383333333333,-1.81666666666666,99999.0,-66.4258510536564,121,100
28569402,3403,2755,113.416666666667,-1.81666666666666,99999.0,-66.3835681590552,121,100
28569403,3404,2755,113.45,-1.81666666666666,99999.0,-65.8674340271982,121,100
28569404,3405,2755,113.483333333333,-1.81666666666666,99999.0,-64.6706744416316,121,100
28569405,3406,2755,113.516666666667,-1.81666666666666,99999.0,-62.7907408472123,121,100
28569406,3407,2755,113.55,-1.81666666666666,99999.0,-60.432283321743,121,100
28569407,3408,2755,113.583333333333,-1.81666666666666,99999.0,-57.8168671189229,121,100
28569408,3409,2755,113.616666666667,-1.81666666666666,99999.0,-55.0841021540667,121,100
28569409,3410,2755,113.65,-1.81666666666666,99999.0,-52.3158645173884,121,100
28569410,3411,2755,113.683333333333,-1.81666666666666,99999.0,-49.5700947128457,121,100
28569411,3412,2755,113.716666666667,-1.81666666666666,99999.0,-46.9158151411606,121,100
28569412,3413,2755,113.75,-1.81666666666666,99999.0,-44.4612726727046,121,100
28580192,3393,2754,113.083333333333,-1.78333333333333,99999.0,-74.1482797525553,121,100
28580193,3394,2754,113.116666666667,-1.78333333333333,99999.0,-70.4539207546377,121,100
28580194,3395,2754,113.15,-1.78333333333333,99999.0,-67.8569130574686,121,100
28580195,3396,2754,113.183333333333,-1.78333333333333,99999.0,-66.3728229903268,121,100
28580196,3397,2754,113.216666666667,-1.78333333333333,99999.0,-65.7191206798471,121,100
28580197,3398,2754,113.25,-1.78333333333333,99999.0,-65.5848726330967,121,100
28580198,3399,2754,113.283333333333,-1.78333333333333,99999.0,-65.7668527678753,121,100
28580199,3400,2754,113.316666666667,-1.78333333333333,99999.0,-66.116394893513,121,100
28580200,3401,2754,113.35,-1.78333333333333,99999.0,-66.4969412850173,121,100
28580201,3402,2754,113.383333333333,-1.78333333333333,99999.0,-66.785269776083,121,100
28580202,3403,2754,113.416666666667,-1.78333333333333,99999.0,-66.8277770382755,121,100
28580203,3404,2754,113.45,-1.78333333333333,99999.0,-66.3780910488851,121,100
28580204,3405,2754,113.483333333333,-1.78333333333333,99999.0,-65.1958169881158,121,100
28580205,3406,2754,113.516666666667,-1.78333333333333,99999.0,-63.2745675859176,121,100
28580206,3407,2754,113.55,-1.78333333333333,99999.0,-60.8467381049875,121,100
28580207,3408,2754,113.583333333333,-1.78333333333333,99999.0,-58.1581432262746,121,100
28580208,3409,2754,113.616666666667,-1.78333333333333,99999.0,-55.3558272031889,121,100
28580209,3410,2754,113.65,-1.78333333333333,99999.0,-52.5241548713081,121,100
28580210,3411,2754,113.683333333333,-1.78333333333333,99999.0,-49.7298054670317,121,100
28580211,3412,2754,113.716666666667,-1.78333333333333,99999.0,-47.0465844972112,121,100
28580212,3413,2754,113.75,-1.78333333333333,99999.0,-44.576014646922,121,100
28590992,3393,2753,113.083333333333,-1.75,99999.0,-74.583425130656,121,100
28590993,3394,2753,113.116666666667,-1.75,99999.0,-70.595979862383,121,100
28590994,3395,2753,113.15,-1.75,99999.0,-67.8650892571534,121,100
28590995,3396,2753,113.183333333333,-1.75,99999.0,-66.3982190551243,121,100
28590996,3397,2753,113.216666666667,-1.75,99999.0,-65.8195400211622,121,100
28590997,3398,2753,113.25,-1.75,99999.0,-65.7440756750969,121,100
28590998,3399,2753,113.283333333333,-1.75,99999.0,-65.936259070106,121,100
28590999,3400,2753,113.316666666667,-1.75,99999.0,-66.2506439703816,121,100
28591000,3401,2753,113.35,-1.75,99999.0,-66.578116429058,121,100
28591001,3402,2753,113.383333333333,-1.75,99999.0,-66.8087171745779,121,100
28591002,3403,2753,113.416666666667,-1.75,99999.0,-66.7889953896558,121,100
28591003,3404,2753,113.45,-1.75,99999.0,-66.2965961431777,121,100
28591004,3405,2753,113.483333333333,-1.75,99999.0,-65.1243833435395,121,100
28591005,3406,2753,113.516666666667,-1.75,99999.0,-63.259964300962,121,100
28591006,3407,2753,113.55,-1.75,99999.0,-60.8982672056107,121,100
28591007,3408,2753,113.583333333333,-1.75,99999.0,-58.2611252201119,121,100
28591008,3409,2753,113.616666666667,-1.75,99999.0,-55.49075732087,121,100
28591009,3410,2753,113.65,-1.75,99999.0,-52.6790895486046,121,100
28591010,3411,2753,113.683333333333,-1.75,99999.0,-49.9114485884029,121,100
28591011,3412,2753,113.716666666667,-1.75,99999.0,-47.2716674490613,121,100
28591012,3413,2753,113.75,-1.75,99999.0,-44.8504015271061,121,100
28601792,3393,2752,113.083333333333,-1.71666666666667,99999.0,-75.3874970797888,121,100
28601793,3394,2752,113.116666666667,-1.71666666666667,99999.0,-71.3132378423372,121,100
28601794,3395,2752,113.15,-1.71666666666667,99999.0,-68.490875676785,121,100
28601795,3396,2752,113.183333333333,-1.71666666666667,99999.0,-66.9302948274202,121,100
28601796,3397,2752,113.216666666667,-1.71666666666667,99999.0,-66.2603973503325,121,100
28601797,3398,2752,113.25,-1.71666666666667,99999.0,-66.0883512365826,121,100
28601798,3399,2752,113.283333333333,-1.71666666666667,99999.0,-66.1652149208607,121,100
28601799,3400,2752,113.316666666667,-1.71666666666667,99999.0,-66.3439101011912,121,100
28601800,3401,2752,113.35,-1.71666666666667,99999.0,-66.5214319892347,121,100
28601801,3402,2752,113.383333333333,-1.71666666666667,99999.0,-66.5872640078504,121,100
28601802,3403,2752,113.416666666667,-1.71666666666667,99999.0,-66.3977010441518,121,100
28601803,3404,2752,113.45,-1.71666666666667,99999.0,-65.7847972603549,121,100
28601804,3405,2752,113.483333333333,-1.71666666666667,99999.0,-64.6080848917028,121,100
28601805,3406,2752,113.516666666667,-1.71666666666667,99999.0,-62.8506170661733,121,100
28601806,3407,2752,113.55,-1.71666666666667,99999.0,-60.6394755322504,121,100
28601807,3408,2752,113.583333333333,-1.71666666666667,99999.0,-58.1442776376794,121,100
28601808,3409,2752,113.616666666667,-1.71666666666667,99999.0,-55.4916329312194,121,100
28601809,3410,2752,113.65,-1.71666666666667,99999.0,-52.7745707449358,121,100
28601810,3411,2752,113.683333333333,-1.71666666666667,99999.0,-50.0893085058148,121,100
28601811,3412,2752,113.716666666667,-1.71666666666667,99999.0,-47.5310052692,121,100
28601812,3413,2752,113.75,-1.71666666666667,99999.0,-45.1862892114035,121,100
28612592,3393,2751,113.083333333333,-1.68333333333334,99999.0,-76.549989057589,121,100
28612593,3394,2751,113.116666666667,-1.68333333333334,99999.0,-72.6030347738355,121,100
28612594,3395,2751,113.15,-1.68333333333334,99999.0,-69.7405530531592,121,100
28612595,3396,2751,113.183333333333,-1.68333333333334,99999.0,-67.9798349271411,121,100
28612596,3397,2751,113.216666666667,-1.68333333333334,99999.0,-67.0546516919187,121,100
28612597,3398,2751,113.25,-1.68333333333334,99999.0,-66.6378559476726,121,100
28612598,3399,2751,113.283333333333,-1.68333333333334,99999.0,-66.4864231057504,121,100
28612599,3400,2751,113.316666666667,-1.68333333333334,99999.0,-66.4454715539013,121,100
28612600,3401,2751,113.35,-1.68333333333334,99999.0,-66.4066044752107,121,100
28612601,3402,2751,113.383333333333,-1.68333333333334,99999.0,-66.2578096861138,121,100
28612602,3403,2751,113.416666666667,-1.68333333333334,99999.0,-65.8700113306182,121,100
28612603,3404,2751,113.45,-1.68333333333334,99999.0,-65.1193259142031,121,100
28612604,3405,2751,113.483333333333,-1.68333333333334,99999.0,-63.9163256825491,121,100
28612605,3406,2751,113.516666666667,-1.68333333333334,99999.0,-62.248649350142,121,100
28612606,3407,2751,113.55,-1.68333333333334,99999.0,-60.1945432088892,121,100
28612607,3408,2751,113.583333333333,-1.68333333333334,99999.0,-57.8738405091813,121,100
28612608,3409,2751,113.616666666667,-1.68333333333334,99999.0,-55.3932299764643,121,100
28612609,3410,2751,113.65,-1.68333333333334,99999.0,-52.8317403847311,121,100
28612610,3411,2751,113.683333333333,-1.68333333333334,99999.0,-50.2667014677909,121,100
28612611,3412,2751,113.716666666667,-1.68333333333334,99999.0,-47.800765849031,121,100
28612612,3413,2751,113.75,-1.68333333333334,99999.0,-45.5391427497479,121,100
28623392,3393,2750,113.083333333333,-1.65000000000001,99999.0,-77.796702709164,121,100
28623393,3394,2750,113.116666666667,-1.65000000000001,99999.0,-74.0879552351376,121,100
28623394,3395,2750,113.15,-1.65000000000001,99999.0,-71.2446428449428,121,100
28623395,3396,2750,113.183333333333,-1.65000000000001,99999.0,-69.2864333503033,121,100
28623396,3397,2750,113.216666666667,-1.65000000000001,99999.0,-68.0604781861955,121,100
28623397,3398,2750,113.25,-1.65000000000001,99999.0,-67.3325349066479,121,100
28623398,3399,2750,113.283333333333,-1.65000000000001,99999.0,-66.8887252033443,121,100
28623399,3400,2750,113.316666666667,-1.65000000000001,99999.0,-66.5792983995028,121,100
28623400,3401,2750,113.35,-1.65000000000001,99999.0,-66.2923764635577,121,100
28623401,3402,2750,113.383333333333,-1.65000000000001,99999.0,-65.9162863553315,121,100
28623402,3403,2750,113.416666666667,-1.65000000000001,99999.0,-65.3372905925208,121,100
28623403,3404,2750,113.45,-1.65000000000001,99999.0,-64.4566805336624,121,100
28623404,3405,2750,113.483333333333,-1.65000000000001,99999.0,-63.2112013878835,121,100
28623405,3406,2750,113.516666666667,-1.65000000000001,99999.0,-61.5954334629709,121,100
28623406,3407,2750,113.55,-1.65000000000001,99999.0,-59.6651373879176,121,100
28623407,3408,2750,113.583333333333,-1.65000000000001,99999.0,-57.511120304938,121,100
28623408,3409,2750,113.616666666667,-1.65000000000001,99999.0,-55.2238937411026,121,100
28623409,3410,2750,113.65,-1.65000000000001,99999.0,-52.8599549823494,121,100
28623410,3411,2750,113.683333333333,-1.65000000000001,99999.0,-50.4544069998463,121,100
28623411,3412,2750,113.716666666667,-1.65000000000001,99999.0,-48.0973821679479,121,100
28623412,3413,2750,113.75,-1.65000000000001,99999.0,-45.9234232236276,121,100
28634192,3393,2749,113.083333333333,-1.61666666666667,99999.0,-78.86241863637,121,100
28634193,3394,2749,113.116666666667,-1.61666666666667,99999.0,-75.4283324625458,121,100
28634194,3395,2749,113.15,-1.61666666666667,99999.0,-72.6575294028148,121,100
28634195,3396,2749,113.183333333333,-1.61666666666667,99999.0,-70.5724368237798,121,100
28634196,3397,2749,113.216666666667,-1.61666666666667,99999.0,-69.0968727144511,121,100
28634197,3398,2749,113.25,-1.61666666666667,99999.0,-68.0744182281445,121,100
28634198,3399,2749,113.283333333333,-1.61666666666667,99999.0,-67.3337990727134,121,100
28634199,3400,2749,113.316666666667,-1.61666666666667,99999.0,-66.7475700601646,121,100
28634200,3401,2749,113.35,-1.61666666666667,99999.0,-66.2097038022844,121,100
28634201,3402,2749,113.383333333333,-1.61666666666667,99999.0,-65.6115784737249,121,100
28634202,3403,2749,113.416666666667,-1.61666666666667,99999.0,-64.8531469015219,121,100
28634203,3404,2749,113.45,-1.61666666666667,99999.0,-63.8521001917131,121,100
28634204,3405,2749,113.483333333333,-1.61666666666667,99999.0,-62.5546398263688,121,100
28634205,3406,2749,113.516666666667,-1.61666666666667,99999.0,-60.9547874132389,121,100
28634206,3407,2749,113.55,-1.61666666666667,99999.0,-59.1074851517367,121,100
28634207,3408,2749,113.583333333333,-1.61666666666667,99999.0,-57.1052504140792,121,100
28634208,3409,2749,113.616666666667,-1.61666666666667,99999.0,-55.0173840475414,121,100
28634209,3410,2749,113.65,-1.61666666666667,99999.0,-52.8571542128813,121,100
28634210,3411,2749,113.683333333333,-1.61666666666667,99999.0,-50.6313464826313,121,100
28634211,3412,2749,113.716666666667,-1.61666666666667,99999.0,-48.4161656628972,121,100
28634212,3413,2749,113.75,-1.61666666666667,99999.0,-46.3373692008666,121,100
